index,county,state,fips,lat,lon
1,Autauga,Alabama,1001,32.53492796,-86.64274781
2,Baldwin,Alabama,1003,30.72748899,-87.72257524
3,Barbour,Alabama,1005,31.86958881,-85.39321291
4,Bibb,Alabama,1007,32.99863415,-87.12648014
5,Blount,Alabama,1009,33.9808782,-86.56738341
6,Bullock,Alabama,1011,32.10053438,-85.71568627
7,Butler,Alabama,1013,31.75241781,-86.68030288
8,Calhoun,Alabama,1015,33.77143651,-85.82603459
9,Chambers,Alabama,1017,32.91435287,-85.39203349
10,Cherokee,Alabama,1019,34.17592601,-85.60380039
11,Chilton,Alabama,1021,32.84786998,-86.71880376
12,Choctaw,Alabama,1023,32.0197775,-88.2631849
