,county,state,fips,PCA
0,Autauga,Alabama,1001,-0.4518516546140504
1,Baldwin,Alabama,1003,-1.468930598412995
2,Barbour,Alabama,1005,2.522901125591249
3,Bibb,Alabama,1007,-0.7708120751537227
4,Blount,Alabama,1009,-0.6457755525199784
5,Bullock,Alabama,1011,3.5340533553950957
6,Butler,Alabama,1013,1.7111107416580644
7,Calhoun,Alabama,1015,0.74030446786829
8,Chambers,Alabama,1017,1.3673745961148538
9,Cherokee,Alabama,1019,-1.6150832328576052
10,Chilton,Alabama,1021,0.7443875343824123
11,Choctaw,Alabama,1023,0.14864574154069446
12,Clarke,Alabama,1025,1.5924725745832162
13,Clay,Alabama,1027,0.5053329394868107
14,Cleburne,Alabama,1029,-1.5457421841663643
15,Coffee,Alabama,1031,1.05649810077015
16,Colbert,Alabama,1033,-0.5219400483276693
17,Conecuh,Alabama,1035,0.7779795362465515
18,Coosa,Alabama,1037,-1.532126047322867
19,Covington,Alabama,1039,-0.3773661169881769
20,Crenshaw,Alabama,1041,0.6406126332571952
21,Cullman,Alabama,1043,-1.2555399347362712
22,Dale,Alabama,1045,0.8587081767462141
23,Dallas,Alabama,1047,3.7299841563270806
24,DeKalb,Alabama,1049,1.1509256849518692
25,Elmore,Alabama,1051,0.005949034933301561
26,Escambia,Alabama,1053,1.4281832700066874
27,Etowah,Alabama,1055,0.15178427978177345
28,Fayette,Alabama,1057,-1.0108932283905627
29,Franklin,Alabama,1059,2.027908115452321
30,Geneva,Alabama,1061,0.36352717737361606
31,Greene,Alabama,1063,3.051563048112956
32,Hale,Alabama,1065,2.098772670051439
33,Henry,Alabama,1067,-0.9519122017392969
34,Houston,Alabama,1069,1.1636430220812441
35,Jackson,Alabama,1071,-0.8724113083427296
36,Jefferson,Alabama,1073,1.6358371270689256
37,Lamar,Alabama,1075,-0.7332439349914047
38,Lauderdale,Alabama,1077,-1.0302321919157078
39,Lawrence,Alabama,1079,-0.2529686333995833
40,Lee,Alabama,1081,1.2760292996548277
41,Limestone,Alabama,1083,-0.20680312246992572
42,Lowndes,Alabama,1085,2.986452736085355
43,Macon,Alabama,1087,2.297953074241848
44,Madison,Alabama,1089,0.25211637106014045
45,Marengo,Alabama,1091,2.018637450193022
46,Marion,Alabama,1093,-1.0015741618866272
47,Marshall,Alabama,1095,1.574513809991071
48,Mobile,Alabama,1097,1.833122764936808
49,Monroe,Alabama,1099,1.7125479935158152
50,Montgomery,Alabama,1101,3.073201897346881
51,Morgan,Alabama,1103,0.6945989880323261
52,Perry,Alabama,1105,2.186117770690672
53,Pickens,Alabama,1107,1.0067771769381986
54,Pike,Alabama,1109,1.8982959340996173
55,Randolph,Alabama,1111,0.46715044486741114
56,Russell,Alabama,1113,2.7934825971999624
57,Shelby,Alabama,1117,-1.5236993642231238
58,St. Clair,Alabama,1115,-1.5122769469189936
59,Sumter,Alabama,1119,2.2607127769519377
60,Talladega,Alabama,1121,0.9278189659750137
61,Tallapoosa,Alabama,1123,1.104859376597086
62,Tuscaloosa,Alabama,1125,1.0830416135940537
63,Walker,Alabama,1127,-0.28570836569974395
64,Washington,Alabama,1129,0.43474477871502987
65,Wilcox,Alabama,1131,1.9233205794204369
66,Winston,Alabama,1133,-1.5139509838489444
67,Anchorage,Alaska,2020,2.702323873424709
68,Bethel Census Area,Alaska,2050,13.28704901895983
69,Fairbanks North Star Borough,Alaska,2090,1.69713784626568
70,Juneau City and Borough,Alaska,2110,0.9932308622687697
71,Kenai Peninsula Borough,Alaska,2122,0.6234701927617146
72,Ketchikan Gateway Borough,Alaska,2130,1.8918454641262175
73,Kodiak Island Borough,Alaska,2150,4.586618033768865
74,Matanuska-Susitna Borough,Alaska,2170,1.1281962174479543
75,Nome Census Area,Alaska,2180,12.055314758659472
76,North Slope Borough,Alaska,2185,10.373301284939439
77,Northwest Arctic Borough,Alaska,2188,14.446895043776294
78,Petersburg Borough,Alaska,2195,1.4998618294917963
79,Prince of Wales-Hyder Census Area,Alaska,2198,3.839481917309606
80,Sitka City and Borough,Alaska,2220,1.465438233567026
81,Southeast Fairbanks Census Area,Alaska,2240,2.7197121812686986
82,Valdez-Cordova Census Area,Alaska,2261,1.062316733245083
83,Yukon-Koyukuk Census Area,Alaska,2290,8.412041483515221
84,Apache,Arizona,4001,8.170323697655888
85,Cochise,Arizona,4003,1.8685984478740203
86,Coconino,Arizona,4005,3.1353816900231632
87,Gila,Arizona,4007,1.0877820573355848
88,Graham,Arizona,4009,3.7400114033807283
89,Greenlee,Arizona,4011,3.8923358799313816
90,La Paz,Arizona,4012,0.8656299537135926
91,Maricopa,Arizona,4013,2.7631643712016234
92,Mohave,Arizona,4015,-0.43310125521609577
93,Navajo,Arizona,4017,5.472884393262516
94,Pima,Arizona,4019,2.234234484789979
95,Pinal,Arizona,4021,1.6393567472925947
96,Santa Cruz,Arizona,4023,6.770787699521077
97,Yavapai,Arizona,4025,-1.7890512157045713
98,Yuma,Arizona,4027,6.401423930951187
99,Arkansas,Arkansas,5001,1.1249625990511274
100,Ashley,Arkansas,5003,0.292196263530694
101,Baxter,Arkansas,5005,-3.264767879981155
102,Benton,Arkansas,5007,0.9502571945891368
103,Boone,Arkansas,5009,-1.2121930863561936
104,Bradley,Arkansas,5011,2.92516216450546
105,Carroll,Arkansas,5015,-0.22376087775308162
106,Chicot,Arkansas,5017,2.9485965611198517
107,Clark,Arkansas,5019,0.6151948887066042
108,Clay,Arkansas,5021,-0.1313055033174772
109,Cleburne,Arkansas,5023,-2.2499171867108663
110,Cleveland,Arkansas,5025,-0.5571593857989279
111,Columbia,Arkansas,5027,1.434925263133779
112,Conway,Arkansas,5029,0.6468822254751827
113,Craighead,Arkansas,5031,1.5709370412956107
114,Crawford,Arkansas,5033,0.16733628905868328
115,Crittenden,Arkansas,5035,3.777746251919685
116,Cross,Arkansas,5037,0.44535451472686943
117,Dallas,Arkansas,5039,-0.19337214853204102
118,Desha,Arkansas,5041,2.6481199322193816
119,Drew,Arkansas,5043,0.4747154386041518
120,Faulkner,Arkansas,5045,0.10644737559012003
121,Franklin,Arkansas,5047,-1.2258476742882052
122,Fulton,Arkansas,5049,-1.7734130454643047
123,Garland,Arkansas,5051,-0.13533005999183106
124,Grant,Arkansas,5053,-1.8032423165523097
125,Greene,Arkansas,5055,-0.8781927337945368
126,Hempstead,Arkansas,5057,2.9521147988654963
127,Hot Spring,Arkansas,5059,-0.4799819007215887
128,Howard,Arkansas,5061,2.525755311275752
129,Independence,Arkansas,5063,-0.004762241599986801
130,Izard,Arkansas,5065,-2.822253944171346
131,Jackson,Arkansas,5067,0.8388336492213466
132,Jefferson,Arkansas,5069,2.3307949223284767
133,Johnson,Arkansas,5071,0.32990932340502155
134,Lafayette,Arkansas,5073,1.0602836587357893
135,Lawrence,Arkansas,5075,-1.4427993471167222
136,Lee,Arkansas,5077,2.0181224493303986
137,Lincoln,Arkansas,5079,0.9600216355342225
138,Little River,Arkansas,5081,0.2833582543645722
139,Logan,Arkansas,5083,-0.499035188845943
140,Lonoke,Arkansas,5085,0.2279585733873583
141,Madison,Arkansas,5087,-0.9344176166644674
142,Marion,Arkansas,5089,-2.4574163467051533
143,Miller,Arkansas,5091,1.550873805953038
144,Mississippi,Arkansas,5093,3.0900386269433895
145,Monroe,Arkansas,5095,1.8999819025262026
146,Montgomery,Arkansas,5097,-2.608178863379388
147,Nevada,Arkansas,5099,-0.3894397691407953
148,Newton,Arkansas,5101,-2.9573511244679063
149,Ouachita,Arkansas,5103,1.7149637486453726
150,Perry,Arkansas,5105,-2.1038728464817282
151,Phillips,Arkansas,5107,4.499589178812242
152,Pike,Arkansas,5109,-0.8114690383144498
153,Poinsett,Arkansas,5111,1.0202344250453261
154,Polk,Arkansas,5113,-0.18380148536581112
155,Pope,Arkansas,5115,0.26065649807597646
156,Prairie,Arkansas,5117,-0.439926451980636
157,Pulaski,Arkansas,5119,1.7908506560015522
158,Randolph,Arkansas,5121,-0.11331557751936519
159,Saline,Arkansas,5125,-1.307542509579687
160,Scott,Arkansas,5127,0.6140808318550466
161,Searcy,Arkansas,5129,-2.6049220692472335
162,Sebastian,Arkansas,5131,1.695405956796389
163,Sevier,Arkansas,5133,4.027191491584157
164,Sharp,Arkansas,5135,-1.4353329057283348
165,St. Francis,Arkansas,5123,2.887044949979897
166,Stone,Arkansas,5137,-2.275784778152976
167,Union,Arkansas,5139,2.1748953269001388
168,Van Buren,Arkansas,5141,-1.782136843210009
169,Washington,Arkansas,5143,2.0632914473259185
170,White,Arkansas,5145,0.15709577559399318
171,Woodruff,Arkansas,5147,1.535279533040273
172,Yell,Arkansas,5149,2.0267212814763242
173,Alameda,California,6001,2.911717365538198
174,Alpine,California,6003,-1.2847341215320203
175,Amador,California,6005,-1.8912068966379683
176,Butte,California,6007,0.4674239033411543
177,Calaveras,California,6009,-2.162758766984857
178,Colusa,California,6011,6.870520220004177
179,Contra Costa,California,6013,1.788245575618763
180,Del Norte,California,6015,2.3327701213685925
181,El Dorado,California,6017,-1.523243889320148
182,Fresno,California,6019,7.198226406285137
183,Glenn,California,6021,4.369595535133175
184,Humboldt,California,6023,0.7546130857873177
185,Imperial,California,6025,9.753786634206188
186,Inyo,California,6027,0.8425926306432315
187,Kern,California,6029,6.665952144789724
188,Kings,California,6031,6.9406665165264405
189,Lake,California,6033,1.5183502998826106
190,Lassen,California,6035,0.28671141464596583
191,Los Angeles,California,6037,6.057775307400874
192,Madera,California,6039,6.337822112072848
193,Marin,California,6041,-0.5889413426619768
194,Mariposa,California,6043,-1.4113522232585816
195,Mendocino,California,6045,1.8359211078689572
196,Merced,California,6047,7.505478425139744
197,Mono,California,6051,-0.33624954921996714
198,Monterey,California,6053,7.3710028608552545
199,Napa,California,6055,1.6038891765953855
200,Nevada,California,6057,-2.461975705524403
201,Orange,California,6059,3.1617131467829513
202,Placer,California,6061,-0.9842022473385413
203,Plumas,California,6063,-2.073800209368487
204,Riverside,California,6065,4.180028215184148
205,Sacramento,California,6067,3.258725271491643
206,San Benito,California,6069,4.914327339500317
207,San Bernardino,California,6071,5.557228464528104
208,San Diego,California,6073,2.955758218704335
209,San Francisco,California,6075,1.8906002406427673
210,San Joaquin,California,6077,5.309843523173239
211,San Luis Obispo,California,6079,-0.3009452447175744
212,San Mateo,California,6081,1.9133286291921197
213,Santa Barbara,California,6083,4.370700950410085
214,Santa Clara,California,6085,2.6519781106597415
215,Santa Cruz,California,6087,2.068055498148124
216,Shasta,California,6089,-0.1663726867791243
217,Sierra,California,6091,-3.0312580048768165
218,Siskiyou,California,6093,-0.17063946532158503
219,Solano,California,6095,2.820207879526351
220,Sonoma,California,6097,0.9483058079087565
221,Stanislaus,California,6099,5.085081770789825
222,Sutter,California,6101,4.437011785841025
223,Tehama,California,6103,2.2222140760055638
224,Trinity,California,6105,-0.09091823905773931
225,Tulare,California,6107,7.915312336988476
226,Tuolumne,California,6109,-1.632996826604557
227,Ventura,California,6111,3.1043615606719976
228,Yolo,California,6113,2.6871972867733454
229,Yuba,California,6115,4.2402490538208895
230,Adams,Colorado,8001,3.643137971415704
231,Alamosa,Colorado,8003,3.251344532604366
232,Arapahoe,Colorado,8005,1.4676109971992193
233,Archuleta,Colorado,8007,-1.453686764846237
234,Baca,Colorado,8009,-1.2758493871861232
235,Bent,Colorado,8011,0.36918265014309554
236,Boulder,Colorado,8013,-0.7508378664260538
237,Broomfield,Colorado,8014,-1.3378177397033866
238,Chaffee,Colorado,8015,-2.5209290627913177
239,Cheyenne,Colorado,8017,-1.522613841877203
240,Clear Creek,Colorado,8019,-3.266726453198981
241,Conejos,Colorado,8021,1.7097456915624267
242,Costilla,Colorado,8023,1.821174976864669
243,Crowley,Colorado,8025,2.31518523306614
244,Custer,Colorado,8027,-3.5814470543552677
245,Delta,Colorado,8029,-1.2595379826011752
246,Denver,Colorado,8031,2.429168593070811
247,Douglas,Colorado,8035,-1.7297932548523307
248,Eagle,Colorado,8037,0.7904566712412766
249,El Paso,Colorado,8041,0.9018264510061708
250,Elbert,Colorado,8039,-2.9850441086010613
251,Fremont,Colorado,8043,-0.8669242818560449
252,Garfield,Colorado,8045,1.7524039438131171
253,Gilpin,Colorado,8047,-3.379745311182968
254,Grand,Colorado,8049,-1.6355981967542985
255,Gunnison,Colorado,8051,-0.6994927535165734
256,Hinsdale,Colorado,8053,-3.408823280486651
257,Huerfano,Colorado,8055,-0.8062673616952678
258,Jefferson,Colorado,8059,-1.1952162936676491
259,Kit Carson,Colorado,8063,0.297108263120329
260,La Plata,Colorado,8067,-1.0849104736789323
261,Lake,Colorado,8065,1.4685836253638123
262,Larimer,Colorado,8069,-1.1441761844665863
263,Las Animas,Colorado,8071,0.3604186460935721
264,Lincoln,Colorado,8073,-0.31128685187493155
265,Logan,Colorado,8075,0.2246799789213596
266,Mesa,Colorado,8077,0.198176494827303
267,Mineral,Colorado,8079,-4.021790377483314
268,Moffat,Colorado,8081,0.5170253632896462
269,Montezuma,Colorado,8083,0.06993344116162008
270,Montrose,Colorado,8085,-0.20703025517544493
271,Morgan,Colorado,8087,3.7520665308419274
272,Otero,Colorado,8089,3.0499069889535773
273,Ouray,Colorado,8091,-3.094625473220854
274,Park,Colorado,8093,-3.5360634384710288
275,Phillips,Colorado,8095,-0.18198248891632426
276,Pitkin,Colorado,8097,-1.4901266446908297
277,Prowers,Colorado,8099,2.442958428734498
278,Pueblo,Colorado,8101,2.188522975415721
279,Rio Blanco,Colorado,8103,-1.0959031835244646
280,Rio Grande,Colorado,8105,2.547168966969877
281,Routt,Colorado,8107,-2.3546501770631765
282,Saguache,Colorado,8109,0.9624493650284953
283,San Juan,Colorado,8111,-1.8327488578933606
284,San Miguel,Colorado,8113,-0.4773088554812333
285,Summit,Colorado,8117,-0.9471999332389432
286,Teller,Colorado,8119,-2.1945138190576374
287,Washington,Colorado,8121,-1.2331897786160888
288,Weld,Colorado,8123,1.3186599993165353
289,Yuma,Colorado,8125,0.623356642268021
290,Fairfield,Connecticut,9001,1.177932301622064
291,Hartford,Connecticut,9003,0.9297731866791789
292,Litchfield,Connecticut,9005,-2.9201689937751283
293,Middlesex,Connecticut,9007,-2.4563956730562935
294,New Haven,Connecticut,9009,0.6744811314080089
295,New London,Connecticut,9011,-0.20357933344099174
296,Tolland,Connecticut,9013,-2.143759576547457
297,Windham,Connecticut,9015,-0.23111367245096087
298,Kent,Delaware,10001,0.757664237299198
299,New Castle,Delaware,10003,0.4485996908871131
300,Sussex,Delaware,10005,-1.4017217829065625
301,District of Columbia,District of Columbia,11001,2.9055813400125183
302,Alachua,Florida,12001,0.4981524612443013
303,Baker,Florida,12003,0.47080432074629486
304,Bay,Florida,12005,0.5124591106053805
305,Bradford,Florida,12007,0.5231740755138171
306,Brevard,Florida,12009,-1.0997432833889955
307,Broward,Florida,12011,3.0658162511629135
308,Calhoun,Florida,12013,0.4382794621241035
309,Charlotte,Florida,12015,-3.1952837161729306
310,Citrus,Florida,12017,-2.9128882523120865
311,Clay,Florida,12019,0.06583177714909695
312,Collier,Florida,12021,0.5991720150885743
313,Columbia,Florida,12023,0.15670607765868694
314,DeSoto,Florida,12027,3.8175340956159975
315,Dixie,Florida,12029,-0.6612395249784162
316,Duval,Florida,12031,1.9447843754939749
317,Escambia,Florida,12033,-0.13414996306862154
318,Flagler,Florida,12035,-1.7895936242124446
319,Franklin,Florida,12037,-0.686311658545045
320,Gadsden,Florida,12039,3.20144080665166
321,Gilchrist,Florida,12041,-1.2044722635640976
322,Glades,Florida,12043,0.06703788562507004
323,Gulf,Florida,12045,-0.6447303878591909
324,Hamilton,Florida,12047,2.3809702930211
325,Hardee,Florida,12049,5.081217425755525
326,Hendry,Florida,12051,7.403932720560384
327,Hernando,Florida,12053,-1.1350281746367417
328,Highlands,Florida,12055,-0.9418758802968887
329,Hillsborough,Florida,12057,3.0277820946981744
330,Holmes,Florida,12059,-0.2773299224831306
331,Indian River,Florida,12061,-1.9229951637772207
332,Jackson,Florida,12063,1.104165932299415
333,Jefferson,Florida,12065,-0.395562472939267
334,Lafayette,Florida,12067,1.429279344502006
335,Lake,Florida,12069,-0.5173484364258653
336,Lee,Florida,12071,0.14667313733036635
337,Leon,Florida,12073,0.8301893272785723
338,Levy,Florida,12075,-0.46008195709588146
339,Liberty,Florida,12077,1.2793160822986487
340,Madison,Florida,12079,1.1194772020280186
341,Manatee,Florida,12081,-0.5546310292617582
342,Marion,Florida,12083,-0.9164167642424962
